"Title","HH & NPISH (S.14 + S.15): Real Households' & NPISH disposable income at chained volume measures (reference year 2019)(1):CP:£m:SA"
"CDID","NRJR"
"Source dataset ID","UKEA"
"PreUnit","£"
"Unit","m"
"Release date","30-06-2023"
"Next release","29 September 2023"
"Important notes",
"1948","249546"
"1949","255859"
"1950","263952"
"1951","260816"
"1952","266334"
"1953","279394"
"1954","288780"
"1955","302115"
"1956","309271"
"1957","314128"
"1958","320128"
"1959","336750"
"1960","359010"
"1961","373852"
"1962","378279"
"1963","393079"
"1964","410307"
"1965","418470"
"1966","427449"
"1967","433345"
"1968","440641"
"1969","444687"
"1970","461522"
"1971","468138"
"1972","508461"
"1973","540766"
"1974","536142"
"1975","540528"
"1976","539674"
"1977","529266"
"1978","566709"
"1979","598658"
"1980","606247"
"1981","601259"
"1982","599323"
"1983","611425"
"1984","630171"
"1985","654225"
"1986","677647"
"1987","684198"
"1988","718917"
"1989","752875"
"1990","782830"
"1991","794181"
"1992","812897"
"1993","832271"
"1994","849182"
"1995","871213"
"1996","887165"
"1997","902378"
"1998","910816"
"1999","950815"
"2000","1003080"
"2001","1040167"
"2002","1068261"
"2003","1093705"
"2004","1125029"
"2005","1152752"
"2006","1172307"
"2007","1216863"
"2008","1209718"
"2009","1227707"
"2010","1238949"
"2011","1209399"
"2012","1237272"
"2013","1263476"
"2014","1294386"
"2015","1375293"
"2016","1384219"
"2017","1398791"
"2018","1432381"
"2019","1462280"
"2020","1443575"
"2021","1460804"
"2022","1441410"
"1955 Q1","73960"
"1955 Q2","76478"
"1955 Q3","76502"
"1955 Q4","75175"
"1956 Q1","77301"
"1956 Q2","76777"
"1956 Q3","77842"
"1956 Q4","77351"
"1957 Q1","77993"
"1957 Q2","78667"
"1957 Q3","78770"
"1957 Q4","78698"
"1958 Q1","79434"
"1958 Q2","79261"
"1958 Q3","80304"
"1958 Q4","81129"
"1959 Q1","81045"
"1959 Q2","84355"
"1959 Q3","85312"
"1959 Q4","86038"
"1960 Q1","88120"
"1960 Q2","89307"
"1960 Q3","90337"
"1960 Q4","91246"
"1961 Q1","92231"
"1961 Q2","93797"
"1961 Q3","94105"
"1961 Q4","93719"
"1962 Q1","93483"
"1962 Q2","93518"
"1962 Q3","94902"
"1962 Q4","96376"
"1963 Q1","95706"
"1963 Q2","96738"
"1963 Q3","100189"
"1963 Q4","100446"
"1964 Q1","101422"
"1964 Q2","102111"
"1964 Q3","103040"
"1964 Q4","103734"
"1965 Q1","103644"
"1965 Q2","103564"
"1965 Q3","105360"
"1965 Q4","105902"
"1966 Q1","110078"
"1966 Q2","105831"
"1966 Q3","105466"
"1966 Q4","106074"
"1967 Q1","105556"
"1967 Q2","107859"
"1967 Q3","110565"
"1967 Q4","109365"
"1968 Q1","111008"
"1968 Q2","111223"
"1968 Q3","109223"
"1968 Q4","109187"
"1969 Q1","110472"
"1969 Q2","111614"
"1969 Q3","111245"
"1969 Q4","111356"
"1970 Q1","111784"
"1970 Q2","116626"
"1970 Q3","116904"
"1970 Q4","116208"
"1971 Q1","113375"
"1971 Q2","117203"
"1971 Q3","118115"
"1971 Q4","119445"
"1972 Q1","121803"
"1972 Q2","129700"
"1972 Q3","127672"
"1972 Q4","129286"
"1973 Q1","132992"
"1973 Q2","135324"
"1973 Q3","136113"
"1973 Q4","136337"
"1974 Q1","132683"
"1974 Q2","131209"
"1974 Q3","136149"
"1974 Q4","136101"
"1975 Q1","137874"
"1975 Q2","133846"
"1975 Q3","135538"
"1975 Q4","133270"
"1976 Q1","135164"
"1976 Q2","133533"
"1976 Q3","137523"
"1976 Q4","133454"
"1977 Q1","130916"
"1977 Q2","129464"
"1977 Q3","131751"
"1977 Q4","137135"
"1978 Q1","136777"
"1978 Q2","140847"
"1978 Q3","144584"
"1978 Q4","144501"
"1979 Q1","146093"
"1979 Q2","148612"
"1979 Q3","148613"
"1979 Q4","155340"
"1980 Q1","150565"
"1980 Q2","150941"
"1980 Q3","153176"
"1980 Q4","151565"
"1981 Q1","152206"
"1981 Q2","149759"
"1981 Q3","149212"
"1981 Q4","150082"
"1982 Q1","148370"
"1982 Q2","150930"
"1982 Q3","149876"
"1982 Q4","150147"
"1983 Q1","149047"
"1983 Q2","156082"
"1983 Q3","152323"
"1983 Q4","153973"
"1984 Q1","156311"
"1984 Q2","154770"
"1984 Q3","157723"
"1984 Q4","161367"
"1985 Q1","161907"
"1985 Q2","165521"
"1985 Q3","162436"
"1985 Q4","164361"
"1986 Q1","166220"
"1986 Q2","173839"
"1986 Q3","169356"
"1986 Q4","168232"
"1987 Q1","165809"
"1987 Q2","170664"
"1987 Q3","172318"
"1987 Q4","175407"
"1988 Q1","176973"
"1988 Q2","178237"
"1988 Q3","180765"
"1988 Q4","182942"
"1989 Q1","184742"
"1989 Q2","185769"
"1989 Q3","192369"
"1989 Q4","189995"
"1990 Q1","193719"
"1990 Q2","193944"
"1990 Q3","196373"
"1990 Q4","198794"
"1991 Q1","198792"
"1991 Q2","195858"
"1991 Q3","198891"
"1991 Q4","200640"
"1992 Q1","201312"
"1992 Q2","203773"
"1992 Q3","203375"
"1992 Q4","204437"
"1993 Q1","205130"
"1993 Q2","193040"
"1993 Q3","223779"
"1993 Q4","210322"
"1994 Q1","210768"
"1994 Q2","212600"
"1994 Q3","209908"
"1994 Q4","215906"
"1995 Q1","216820"
"1995 Q2","215918"
"1995 Q3","220034"
"1995 Q4","218441"
"1996 Q1","221835"
"1996 Q2","221601"
"1996 Q3","222885"
"1996 Q4","220844"
"1997 Q1","222945"
"1997 Q2","225087"
"1997 Q3","227563"
"1997 Q4","226783"
"1998 Q1","226653"
"1998 Q2","227698"
"1998 Q3","226775"
"1998 Q4","229690"
"1999 Q1","226972"
"1999 Q2","238468"
"1999 Q3","239749"
"1999 Q4","245626"
"2000 Q1","245597"
"2000 Q2","247677"
"2000 Q3","252451"
"2000 Q4","257355"
"2001 Q1","258803"
"2001 Q2","257733"
"2001 Q3","259453"
"2001 Q4","264178"
"2002 Q1","265366"
"2002 Q2","267639"
"2002 Q3","267169"
"2002 Q4","268087"
"2003 Q1","270380"
"2003 Q2","272258"
"2003 Q3","273870"
"2003 Q4","277197"
"2004 Q1","278225"
"2004 Q2","280596"
"2004 Q3","282733"
"2004 Q4","283475"
"2005 Q1","285022"
"2005 Q2","287751"
"2005 Q3","289978"
"2005 Q4","290001"
"2006 Q1","292005"
"2006 Q2","291104"
"2006 Q3","293688"
"2006 Q4","295510"
"2007 Q1","303409"
"2007 Q2","301544"
"2007 Q3","305751"
"2007 Q4","306159"
"2008 Q1","301499"
"2008 Q2","304834"
"2008 Q3","299233"
"2008 Q4","304152"
"2009 Q1","300744"
"2009 Q2","308384"
"2009 Q3","307773"
"2009 Q4","310806"
"2010 Q1","310149"
"2010 Q2","311197"
"2010 Q3","309656"
"2010 Q4","307947"
"2011 Q1","299477"
"2011 Q2","304046"
"2011 Q3","303715"
"2011 Q4","302161"
"2012 Q1","307743"
"2012 Q2","309942"
"2012 Q3","310460"
"2012 Q4","309127"
"2013 Q1","306998"
"2013 Q2","313566"
"2013 Q3","320246"
"2013 Q4","322666"
"2014 Q1","321768"
"2014 Q2","323219"
"2014 Q3","323035"
"2014 Q4","326364"
"2015 Q1","334106"
"2015 Q2","341700"
"2015 Q3","350818"
"2015 Q4","348669"
"2016 Q1","347897"
"2016 Q2","348268"
"2016 Q3","345978"
"2016 Q4","342076"
"2017 Q1","342771"
"2017 Q2","351504"
"2017 Q3","352186"
"2017 Q4","352330"
"2018 Q1","356398"
"2018 Q2","355799"
"2018 Q3","357855"
"2018 Q4","362329"
"2019 Q1","361096"
"2019 Q2","366935"
"2019 Q3","366845"
"2019 Q4","367404"
"2020 Q1","361400"
"2020 Q2","354718"
"2020 Q3","363668"
"2020 Q4","363789"
"2021 Q1","364392"
"2021 Q2","365764"
"2021 Q3","366206"
"2021 Q4","364442"
"2022 Q1","361785"
"2022 Q2","358446"
"2022 Q3","358310"
"2022 Q4","362869"
"2023 Q1","360224"
